ID_Viagem,Data,Tipo_Frota,Placa_Veiculo,Rota,Distancia_km,Carga_t,Tempo_Viagem_h,Tempo_Espera_Fila_h,Consumo_L,Media_km_l,Custo_Total_R$,R$_km,R$_Ton
VJ-1164,21/02/2026,Própria,PR-P028,Unidade Sul -> Transbordo Ferroviário (PR),280,48.8,5.3,6.2,136.6,2.05,1772.4,6.33,36.32
VJ-1165,21/02/2026,Dedicada,PR-D128,Unidade Sul -> Transbordo Ferroviário (PR),280,49.8,5.5,4.5,160.0,1.75,1976.8,7.06,39.69
VJ-1166,21/02/2026,Dedicada,PR-D160,Unidade Sudoeste -> Porto de Paranaguá (PR),580,48.4,11.5,0.3,337.2,1.72,4036.8,6.96,83.4
VJ-1167,21/02/2026,Dedicada,PR-D084,Unidade Sul -> Transbordo Ferroviário (PR),280,48.4,4.9,20.7,152.2,1.84,1764.0,6.3,36.45
VJ-1168,22/02/2026,Própria,PR-P024,Unidade Oeste -> Indústria Local (PR),140,49.3,2.4,9.6,75.7,1.85,894.6,6.39,18.15
VJ-1169,22/02/2026,Dedicada,PR-D140,Unidade Sudoeste -> Porto de Paranaguá (PR),580,48.6,10.3,2.1,325.8,1.78,3677.2,6.34,75.66
VJ-1170,22/02/2026,Dedicada,PR-D178,Unidade Oeste -> Indústria Local (PR),140,48.1,2.7,23.5,78.2,1.79,911.4,6.51,18.95
VJ-1171,22/02/2026,Própria,PR-P035,Unidade Sul -> Transbordo Ferroviário (PR),280,48.6,5.1,5.5,153.8,1.82,1635.2,5.84,33.65
VJ-1172,22/02/2026,Dedicada,PR-D124,Unidade Oeste -> Indústria Local (PR),140,47.9,2.5,5.2,80.9,1.73,949.2,6.78,19.82
VJ-1173,22/02/2026,Dedicada,PR-D033,Unidade Sudoeste -> Porto de Paranaguá (PR),580,47.9,10.4,8.3,308.5,1.88,3973.0,6.85,82.94
VJ-1174,22/02/2026,Dedicada,PR-D161,Unidade Oeste -> Indústria Local (PR),140,48.7,2.3,10.0,74.9,1.87,894.6,6.39,18.37
VJ-1175,22/02/2026,Própria,PR-P043,Unidade Sudoeste -> Porto de Paranaguá (PR),580,48.5,11.2,6.4,302.1,1.92,3538.0,6.1,72.95
VJ-1176,23/02/2026,Dedicada,PR-D101,Unidade Sudoeste -> Porto de Paranaguá (PR),580,49.8,9.9,0.8,337.2,1.72,3862.8,6.66,77.57
VJ-1177,23/02/2026,Dedicada,PR-D012,Unidade Sudoeste -> Porto de Paranaguá (PR),580,48.4,10.6,2.5,318.7,1.82,3828.0,6.6,79.09
VJ-1178,23/02/2026,Dedicada,PR-D067,Unidade Sudoeste -> Porto de Paranaguá (PR),580,49.0,10.5,15.8,343.2,1.69,3712.0,6.4,75.76
VJ-1179,23/02/2026,Própria,PR-P001,Unidade Sudoeste -> Porto de Paranaguá (PR),580,49.1,9.9,1.5,311.8,1.86,3497.4,6.03,71.23
VJ-1180,23/02/2026,Dedicada,PR-D161,Unidade Sudoeste -> Porto de Paranaguá (PR),580,47.5,9.9,2.8,335.3,1.73,4002.0,6.9,84.25
VJ-1181,23/02/2026,Própria,PR-P040,Unidade Oeste -> Indústria Local (PR),140,49.2,2.3,3.4,71.4,1.96,893.2,6.38,18.15
VJ-1182,23/02/2026,Dedicada,PR-D074,Unidade Sudoeste -> Porto de Paranaguá (PR),580,47.9,11.3,3.5,313.5,1.85,3688.8,6.36,77.01
VJ-1183,23/02/2026,Dedicada,PR-D043,Unidade Sudoeste -> Porto de Paranaguá (PR),580,49.9,11.3,5.7,316.9,1.83,3816.4,6.58,76.48
VJ-1184,24/02/2026,Dedicada,PR-D044,Unidade Sul -> Transbordo Ferroviário (PR),280,47.9,4.8,17.2,153.0,1.83,1974.0,7.05,41.21
VJ-1185,24/02/2026,Dedicada,PR-D029,Unidade Oeste -> Indústria Local (PR),140,48.5,2.5,1.7,79.1,1.77,956.2,6.83,19.72
VJ-1186,24/02/2026,Dedicada,PR-D141,Unidade Oeste -> Indústria Local (PR),140,47.7,2.6,0.8,80.0,1.75,957.6,6.84,20.08
VJ-1187,24/02/2026,Dedicada,PR-D012,Unidade Sudoeste -> Porto de Paranaguá (PR),580,50.0,11.4,1.3,331.4,1.75,3822.2,6.59,76.44
VJ-1188,24/02/2026,Dedicada,PR-D095,Unidade Sudoeste -> Porto de Paranaguá (PR),580,48.8,11.4,13.1,308.5,1.88,3926.6,6.77,80.46
VJ-1189,24/02/2026,Dedicada,PR-D046,Unidade Sudoeste -> Porto de Paranaguá (PR),580,49.0,9.6,6.2,343.2,1.69,3659.8,6.31,74.69
VJ-1190,24/02/2026,Própria,PR-P002,Unidade Sudoeste -> Porto de Paranaguá (PR),580,47.7,11.1,2.0,320.4,1.81,3683.0,6.35,77.21
VJ-1191,24/02/2026,Dedicada,PR-D035,Unidade Sudoeste -> Porto de Paranaguá (PR),580,49.4,10.8,10.2,322.2,1.8,4077.4,7.03,82.54
VJ-1192,25/02/2026,Dedicada,PR-D081,Unidade Sudoeste -> Porto de Paranaguá (PR),580,48.0,11.0,11.9,327.7,1.77,3938.2,6.79,82.05
VJ-1193,25/02/2026,Dedicada,PR-D090,Unidade Sudoeste -> Porto de Paranaguá (PR),580,49.7,10.7,11.2,316.9,1.83,4060.0,7.0,81.69
VJ-1194,25/02/2026,Dedicada,PR-D008,Unidade Sudoeste -> Porto de Paranaguá (PR),580,48.0,11.4,15.1,325.8,1.78,3990.4,6.88,83.13
VJ-1195,25/02/2026,Dedicada,PR-D093,Unidade Oeste -> Indústria Local (PR),140,48.0,2.5,1.7,75.7,1.85,896.0,6.4,18.67
VJ-1196,25/02/2026,Dedicada,PR-D154,Unidade Sudoeste -> Porto de Paranaguá (PR),580,47.6,11.4,8.4,311.8,1.86,4071.6,7.02,85.54
VJ-1197,25/02/2026,Dedicada,PR-D202,Unidade Sudoeste -> Porto de Paranaguá (PR),580,48.7,9.7,3.7,329.5,1.76,3683.0,6.35,75.63
VJ-1198,25/02/2026,Dedicada,PR-D090,Unidade Oeste -> Indústria Local (PR),140,48.9,2.7,11.1,80.5,1.74,942.2,6.73,19.27
VJ-1199,25/02/2026,Dedicada,PR-D162,Unidade Oeste -> Indústria Local (PR),140,47.7,2.5,7.8,77.8,1.8,897.4,6.41,18.81
VJ-1200,26/02/2026,Dedicada,PR-D115,Unidade Sudoeste -> Porto de Paranaguá (PR),580,49.4,9.6,9.0,311.8,1.86,3659.8,6.31,74.09
VJ-1201,26/02/2026,Própria,PR-P041,Unidade Norte -> Terminal Mairinque (SP),490,48.6,8.5,6.4,263.4,1.86,2900.8,5.92,59.69
VJ-1202,26/02/2026,Própria,PR-P007,Unidade Oeste -> Indústria Local (PR),140,48.8,2.5,1.2,75.3,1.86,827.4,5.91,16.95
VJ-1203,26/02/2026,Dedicada,PR-D196,Unidade Sudoeste -> Porto de Paranaguá (PR),580,48.6,10.8,4.7,320.4,1.81,3880.2,6.69,79.84
VJ-1204,26/02/2026,Dedicada,PR-D058,Unidade Sul -> Transbordo Ferroviário (PR),280,48.5,5.2,25.1,153.0,1.83,1892.8,6.76,39.03
VJ-1205,26/02/2026,Própria,PR-P045,Unidade Sul -> Transbordo Ferroviário (PR),280,48.9,4.8,16.6,143.6,1.95,1649.2,5.89,33.73
VJ-1206,26/02/2026,Própria,PR-P011,Unidade Sudoeste -> Porto de Paranaguá (PR),580,47.9,9.4,0.3,318.7,1.82,3514.8,6.06,73.38
VJ-1207,26/02/2026,Dedicada,PR-D157,Unidade Sudoeste -> Porto de Paranaguá (PR),580,48.0,10.0,1.1,311.8,1.86,3915.0,6.75,81.56
VJ-1208,27/02/2026,Própria,PR-P036,Unidade Norte -> Terminal Mairinque (SP),490,49.7,8.6,0.8,262.0,1.87,2866.5,5.85,57.68
VJ-1209,27/02/2026,Própria,PR-P025,Unidade Norte -> Terminal Mairinque (SP),490,49.9,8.3,7.8,267.8,1.83,3101.7,6.33,62.16
VJ-1210,27/02/2026,Dedicada,PR-D021,Unidade Sudoeste -> Porto de Paranaguá (PR),580,48.4,10.4,10.2,310.2,1.87,3955.6,6.82,81.73
VJ-1211,27/02/2026,Dedicada,PR-D164,Unidade Sudoeste -> Porto de Paranaguá (PR),580,48.2,11.4,1.4,337.2,1.72,4048.4,6.98,83.99
VJ-1212,27/02/2026,Dedicada,PR-D138,Unidade Sudoeste -> Porto de Paranaguá (PR),580,49.1,10.2,4.2,313.5,1.85,3973.0,6.85,80.92
VJ-1213,27/02/2026,Dedicada,PR-D101,Unidade Oeste -> Indústria Local (PR),140,48.5,2.3,11.0,78.7,1.78,929.6,6.64,19.17
VJ-1214,27/02/2026,Dedicada,PR-D201,Unidade Oeste -> Indústria Local (PR),140,47.6,2.7,7.9,80.9,1.73,957.6,6.84,20.12
VJ-1215,27/02/2026,Dedicada,PR-D152,Unidade Sudoeste -> Porto de Paranaguá (PR),580,47.9,10.0,4.7,313.5,1.85,3781.6,6.52,78.95
VJ-1216,28/02/2026,Dedicada,PR-D192,Unidade Oeste -> Indústria Local (PR),140,49.3,2.7,5.4,79.1,1.77,917.0,6.55,18.6
VJ-1217,28/02/2026,Dedicada,PR-D177,Unidade Norte -> Terminal Mairinque (SP),490,49.1,8.7,4.3,275.3,1.78,3395.7,6.93,69.16
VJ-1218,28/02/2026,Dedicada,PR-D099,Unidade Sudoeste -> Porto de Paranaguá (PR),580,47.6,11.3,2.1,331.4,1.75,3862.8,6.66,81.15
VJ-1219,28/02/2026,Dedicada,PR-D036,Unidade Sudoeste -> Porto de Paranaguá (PR),580,48.1,10.5,5.0,322.2,1.8,4025.2,6.94,83.68
VJ-1220,28/02/2026,Dedicada,PR-D210,Unidade Norte -> Terminal Mairinque (SP),490,48.1,8.3,7.0,286.5,1.71,3410.4,6.96,70.9
VJ-1221,28/02/2026,Dedicada,PR-D096,Unidade Sul -> Transbordo Ferroviário (PR),280,49.2,5.2,12.4,159.1,1.76,1957.2,6.99,39.78
VJ-1222,28/02/2026,Própria,PR-P024,Unidade Oeste -> Indústria Local (PR),140,47.5,2.4,6.1,76.9,1.82,859.6,6.14,18.1
VJ-1223,28/02/2026,Dedicada,PR-D151,Unidade Oeste -> Indústria Local (PR),140,47.8,2.4,8.6,80.9,1.73,929.6,6.64,19.45
VJ-1224,01/03/2026,Dedicada,PR-D190,Unidade Sudoeste -> Porto de Paranaguá (PR),580,49.5,9.5,1.0,320.4,1.81,3804.8,6.56,76.86
VJ-1225,01/03/2026,Dedicada,PR-D037,Unidade Sudoeste -> Porto de Paranaguá (PR),580,47.9,11.0,3.7,331.4,1.75,3926.6,6.77,81.97
VJ-1226,01/03/2026,Dedicada,PR-D012,Unidade Oeste -> Indústria Local (PR),140,49.1,2.6,0.1,76.5,1.83,924.0,6.6,18.82
VJ-1227,01/03/2026,Dedicada,PR-D113,Unidade Sudoeste -> Porto de Paranaguá (PR),580,48.1,11.2,1.7,339.2,1.71,3932.4,6.78,81.75
VJ-1228,01/03/2026,Dedicada,PR-D183,Unidade Sudoeste -> Porto de Paranaguá (PR),580,47.7,9.4,7.8,310.2,1.87,3978.8,6.86,83.41
VJ-1229,01/03/2026,Dedicada,PR-D013,Unidade Sudoeste -> Porto de Paranaguá (PR),580,48.1,9.5,28.8,327.7,1.77,3973.0,6.85,82.6
VJ-1230,01/03/2026,Dedicada,PR-D023,Unidade Sudoeste -> Porto de Paranaguá (PR),580,49.3,10.3,0.6,335.3,1.73,3828.0,6.6,77.65
VJ-1231,01/03/2026,Dedicada,PR-D099,Unidade Sudoeste -> Porto de Paranaguá (PR),580,49.6,9.6,3.1,343.2,1.69,3729.4,6.43,75.19
VJ-1232,02/03/2026,Dedicada,PR-D105,Unidade Sudoeste -> Porto de Paranaguá (PR),580,49.6,10.3,9.7,339.2,1.71,3851.2,6.64,77.65
VJ-1233,02/03/2026,Dedicada,PR-D030,Unidade Sudoeste -> Porto de Paranaguá (PR),580,48.5,10.1,1.4,325.8,1.78,3717.8,6.41,76.66
VJ-1234,02/03/2026,Dedicada,PR-D017,Unidade Sudoeste -> Porto de Paranaguá (PR),580,49.2,11.4,4.9,331.4,1.75,4065.8,7.01,82.64
VJ-1235,02/03/2026,Dedicada,PR-D113,Unidade Sul -> Transbordo Ferroviário (PR),280,48.0,4.7,7.9,151.4,1.85,1842.4,6.58,38.38
VJ-1236,02/03/2026,Dedicada,PR-D062,Unidade Oeste -> Indústria Local (PR),140,48.2,2.7,5.7,79.1,1.77,898.8,6.42,18.65
VJ-1237,02/03/2026,Própria,PR-P020,Unidade Oeste -> Indústria Local (PR),140,49.7,2.3,1.2,71.4,1.96,841.4,6.01,16.93
VJ-1238,02/03/2026,Dedicada,PR-D112,Unidade Norte -> Terminal Mairinque (SP),490,47.5,8.3,2.6,272.2,1.8,3341.8,6.82,70.35
VJ-1239,02/03/2026,Própria,PR-P025,Unidade Oeste -> Indústria Local (PR),140,47.7,2.4,9.2,69.3,2.02,882.0,6.3,18.49
VJ-1240,03/03/2026,Dedicada,PR-D086,Unidade Sudoeste -> Porto de Paranaguá (PR),580,48.0,11.5,4.8,339.2,1.71,3810.6,6.57,79.39
VJ-1241,03/03/2026,Dedicada,PR-D141,Unidade Oeste -> Indústria Local (PR),140,47.6,2.6,0.0,81.9,1.71,890.4,6.36,18.71
VJ-1242,03/03/2026,Dedicada,PR-D187,Unidade Oeste -> Indústria Local (PR),140,48.0,2.6,8.6,82.8,1.69,928.2,6.63,19.34
VJ-1243,03/03/2026,Dedicada,PR-D019,Unidade Norte -> Terminal Mairinque (SP),490,49.0,9.0,0.2,267.8,1.83,3209.5,6.55,65.5
VJ-1244,03/03/2026,Própria,PR-P036,Unidade Sudoeste -> Porto de Paranaguá (PR),580,48.6,11.4,8.2,297.4,1.95,3398.8,5.86,69.93
VJ-1245,03/03/2026,Dedicada,PR-D140,Unidade Sudoeste -> Porto de Paranaguá (PR),580,49.7,9.5,1.4,327.7,1.77,3932.4,6.78,79.12
VJ-1246,03/03/2026,Dedicada,PR-D189,Unidade Sudoeste -> Porto de Paranaguá (PR),580,49.5,10.2,19.0,313.5,1.85,3822.2,6.59,77.22
VJ-1247,03/03/2026,Dedicada,PR-D147,Unidade Sudoeste -> Porto de Paranaguá (PR),580,48.4,10.8,2.8,315.2,1.84,3752.6,6.47,77.53
VJ-1248,04/03/2026,Dedicada,PR-D076,Unidade Oeste -> Indústria Local (PR),140,48.1,2.6,2.4,77.8,1.8,992.6,7.09,20.64
VJ-1249,04/03/2026,Dedicada,PR-D009,Unidade Oeste -> Indústria Local (PR),140,48.4,2.5,1.0,75.7,1.85,932.4,6.66,19.26
